pid	situscity	situszip
547	MOUNT DORA	32757
548	MOUNT DORA	32757
549	MOUNT DORA	32757
550	MOUNT DORA	32757
551	MOUNT DORA	32757
552	MOUNT DORA	32757
553	MOUNT DORA	32757
554	MOUNT DORA	32757
555	MOUNT DORA	32757
556	MOUNT DORA	32757
557	MOUNT DORA	32757
558	MOUNT DORA	32757
559	MOUNT DORA	32757
560	MOUNT DORA	32757
561	MOUNT DORA	32757
562	MOUNT DORA	32757
563	MOUNT DORA	32757
564	MOUNT DORA	32757
565	MOUNT DORA	32757
566	MOUNT DORA	32757
567	MOUNT DORA	32757
568	MOUNT DORA	32757
569	MOUNT DORA	32757
570	MOUNT DORA	32757
571	MOUNT DORA	32757
572	MOUNT DORA	32757
573	MOUNT DORA	32757
574	MOUNT DORA	32757
575	MOUNT DORA	32757
576	MOUNT DORA	32757
577	MOUNT DORA	32757
578	MOUNT DORA	32757
579	MOUNT DORA	32757
580	MOUNT DORA	32757
581	MOUNT DORA	32757
582	MOUNT DORA	32757
583	MOUNT DORA	32757
584	MOUNT DORA	32757
585	MOUNT DORA	32757
586	MOUNT DORA	32757
587	MOUNT DORA	32757
588	MOUNT DORA	32757
589	MOUNT DORA	32757
590	MOUNT DORA	32757
591	MOUNT DORA	32757
592	MOUNT DORA	32757
593	MOUNT DORA	32757
594	MOUNT DORA	32757
595	MOUNT DORA	32757
596	MOUNT DORA	32757
597	MOUNT DORA	32757
598	MOUNT DORA	32757
599	MOUNT DORA	32757
600	MOUNT DORA	32757
601	MOUNT DORA	32757
602	MOUNT DORA	32757
603	MOUNT DORA	32757
604	MOUNT DORA	32757
605	MOUNT DORA	32757
606	MOUNT DORA	32757
607	MOUNT DORA	32757
608	MOUNT DORA	32757
609	MOUNT DORA	32757
610	MOUNT DORA	32757
611	MOUNT DORA	32757
612	MOUNT DORA	32757
613	MOUNT DORA	32757
614	MOUNT DORA	32757
615	MOUNT DORA	32757
616	MOUNT DORA	32757
617	MOUNT DORA	32757
618	MOUNT DORA	32757
619	MOUNT DORA	32757
620	MOUNT DORA	32757
621	MOUNT DORA	32757
622	MOUNT DORA	32757
623	MOUNT DORA	32757
624	MOUNT DORA	32757
625	MOUNT DORA	32757
626	MOUNT DORA	32757
627	MOUNT DORA	32757
628	MOUNT DORA	32757
629	MOUNT DORA	32757
630	MOUNT DORA	32757
631	MOUNT DORA	32757
632	MOUNT DORA	32757
633	MOUNT DORA	32757
634	MOUNT DORA	32757
635	MOUNT DORA	32757
636	MOUNT DORA	32757
637	MOUNT DORA	32757
638	MOUNT DORA	32757
639	MOUNT DORA	32757
640	MOUNT DORA	32757
641	MOUNT DORA	32757
642	MOUNT DORA	32757
643	MOUNT DORA	32757
644	MOUNT DORA	32757
645	MOUNT DORA	32757
646	MOUNT DORA	32757
647	MOUNT DORA	32757
648	MOUNT DORA	32757
649	MOUNT DORA	32757
650	MOUNT DORA	32757
651	MOUNT DORA	32757
652	MOUNT DORA	32757
653	MOUNT DORA	32757
654	MOUNT DORA	32757
655	MOUNT DORA	32757
656	MOUNT DORA	32757
657	MOUNT DORA	32757
658	MOUNT DORA	32757
659	MOUNT DORA	32757
660	MOUNT DORA	32757
661	MOUNT DORA	32757
662	MOUNT DORA	32757
663	MOUNT DORA	32757
664	MOUNT DORA	32757
665	MOUNT DORA	32757
666	MOUNT DORA	32757
667	MOUNT DORA	32757
668	MOUNT DORA	32757
669	MOUNT DORA	32757
670	MOUNT DORA	32757
671	MOUNT DORA	32757
672	MOUNT DORA	32757
673	MOUNT DORA	32757
674	MOUNT DORA	32757
675	MOUNT DORA	32757
676	MOUNT DORA	32757
677	MOUNT DORA	32757
678	MOUNT DORA	32757
679	MOUNT DORA	32757
680	MOUNT DORA	32757
681	MOUNT DORA	32757
682	MOUNT DORA	32757
683	MOUNT DORA	32757
684	MOUNT DORA	32757
685	MOUNT DORA	32757
686	MOUNT DORA	32757
687	MOUNT DORA	32757
688	MOUNT DORA	32757
689	MOUNT DORA	32757
690	MOUNT DORA	32757
691	MOUNT DORA	32757
692	MOUNT DORA	32757
693	MOUNT DORA	32757
694	MOUNT DORA	32757
695	MOUNT DORA	32757
696	MOUNT DORA	32757
697	MOUNT DORA	32757
698	MOUNT DORA	32757
699	MOUNT DORA	32757
700	MOUNT DORA	32757
701	MOUNT DORA	32757
702	MOUNT DORA	32757
703	MOUNT DORA	32757
704	MOUNT DORA	32757
705	MOUNT DORA	32757
706	MOUNT DORA	32757
707	MOUNT DORA	32757
708	MOUNT DORA	32757
709	MOUNT DORA	32757
710	MOUNT DORA	32757
711	MOUNT DORA	32757
712	MOUNT DORA	32757
713	MOUNT DORA	32757
714	MOUNT DORA	32757
715	MOUNT DORA	32757
716	MOUNT DORA	32757
717	APOPKA	32712
718	APOPKA	32712
719	APOPKA	32712
720	APOPKA	32712
721	APOPKA	32712
722	APOPKA	32712
723	APOPKA	32712
724	APOPKA	32712
725	APOPKA	32712
726	APOPKA	32712
727	APOPKA	32712
728	APOPKA	32712
729	APOPKA	32712
730	APOPKA	32712
731	APOPKA	32712
732	APOPKA	32712
733	APOPKA	32712
734	APOPKA	32712
735	APOPKA	32712
736	APOPKA	32712
737	APOPKA	32712
738	APOPKA	32712
739	APOPKA	32712
740	APOPKA	32712
741	APOPKA	32712
742	APOPKA	32712
743	APOPKA	32712
744	APOPKA	32712
745	APOPKA	32712
746	APOPKA	32712
747	APOPKA	32712
748	APOPKA	32712
749	APOPKA	32712
750	APOPKA	32712
751	APOPKA	32712
752	APOPKA	32712
753	APOPKA	32712
754	APOPKA	32712
755	APOPKA	32712
756	APOPKA	32712
757	APOPKA	32712
758	APOPKA	32712
759	APOPKA	32712
760	MOUNT DORA	32757
761	MOUNT DORA	32757
762	APOPKA	32712
763	APOPKA	32712
764	APOPKA	32712
765	MOUNT DORA	32757
766	MOUNT DORA	32757
767	MOUNT DORA	32757
768	MOUNT DORA	32757
769	MOUNT DORA	32757
770	MOUNT DORA	32757
771	MOUNT DORA	32757
772	MOUNT DORA	32757
773	MOUNT DORA	32757
774	MOUNT DORA	32757
775	MOUNT DORA	32757
776	MOUNT DORA	32757
777	MOUNT DORA	32757
778	MOUNT DORA	32757
779	MOUNT DORA	32757
780	MOUNT DORA	32757
781	MOUNT DORA	32757
782	MOUNT DORA	32757
783	MOUNT DORA	32757
784	MOUNT DORA	32757
785	MOUNT DORA	32757
786	MOUNT DORA	32757
787	MOUNT DORA	32757
788	MOUNT DORA	32757
789	MOUNT DORA	32757
790	MOUNT DORA	32757
791	MOUNT DORA	32757
792	MOUNT DORA	32757
793	MOUNT DORA	32757
794	MOUNT DORA	32757
795	MOUNT DORA	32757
796	MOUNT DORA	32757
797	MOUNT DORA	32757
798	MOUNT DORA	32757
799	MOUNT DORA	32757
800	MOUNT DORA	32757
801	MOUNT DORA	32757
802	MOUNT DORA	32757
803	MOUNT DORA	32757
804	MOUNT DORA	32757
805	MOUNT DORA	32757
806	MOUNT DORA	32757
807	MOUNT DORA	32757
808	MOUNT DORA	32757
809	MOUNT DORA	32757
810	MOUNT DORA	32757
811	MOUNT DORA	32757
812	MOUNT DORA	32757
813	MOUNT DORA	32757
814	MOUNT DORA	32757
815	MOUNT DORA	32757
816	MOUNT DORA	32757
817	MOUNT DORA	32757
818	MOUNT DORA	32757
819	MOUNT DORA	32757
820	MOUNT DORA	32757
821	MOUNT DORA	32757
822	MOUNT DORA	32757
823	MOUNT DORA	32757
824	MOUNT DORA	32757
825	MOUNT DORA	32757
826	MOUNT DORA	32757
827	MOUNT DORA	32757
828	MOUNT DORA	32757
829	MOUNT DORA	32757
830	MOUNT DORA	32757
831	MOUNT DORA	32757
832	MOUNT DORA	32757
833	MOUNT DORA	32757
834	MOUNT DORA	32757
835	MOUNT DORA	32757
836	MOUNT DORA	32757
837	MOUNT DORA	32757
838	MOUNT DORA	32757
839	MOUNT DORA	32757
840	MOUNT DORA	32757
841	MOUNT DORA	32757
842	MOUNT DORA	32757
843	MOUNT DORA	32757
844	MOUNT DORA	32757
845	MOUNT DORA	32757
846	MOUNT DORA	32757
847	MOUNT DORA	32757
848	MOUNT DORA	32757
849	MOUNT DORA	32757
850	MOUNT DORA	32757
851	MOUNT DORA	32757
852	MOUNT DORA	32757
853	MOUNT DORA	32757
854	MOUNT DORA	32757
855	MOUNT DORA	32757
856	MOUNT DORA	32757
857	MOUNT DORA	32757
858	MOUNT DORA	32757
859	MOUNT DORA	32757
860	MOUNT DORA	32757
861	MOUNT DORA	32757
862	MOUNT DORA	32757
863	MOUNT DORA	32757
864	MOUNT DORA	32757
865	MOUNT DORA	32757
866	MOUNT DORA	32757
867	MOUNT DORA	32757
868	MOUNT DORA	32757
869	MOUNT DORA	32757
870	MOUNT DORA	32757
871	MOUNT DORA	32757
872	MOUNT DORA	32757
873	MOUNT DORA	32757
874	MOUNT DORA	32757
875	MOUNT DORA	32757
876	MOUNT DORA	32757
877	MOUNT DORA	32757
878	MOUNT DORA	32757
879	MOUNT DORA	32757
880	MOUNT DORA	32757
881	MOUNT DORA	32757
882	MOUNT DORA	32757
883	MOUNT DORA	32757
884	MOUNT DORA	32757
885	MOUNT DORA	32757
886	MOUNT DORA	32757
887	MOUNT DORA	32757
888	MOUNT DORA	32757
889	MOUNT DORA	32757
890	MOUNT DORA	32757
891	MOUNT DORA	32757
892	MOUNT DORA	32757
893	MOUNT DORA	32757
894	MOUNT DORA	32757
895	MOUNT DORA	32757
896	MOUNT DORA	32757
897	MOUNT DORA	32757
898	MOUNT DORA	32757
899	MOUNT DORA	32757
900	MOUNT DORA	32757
901	MOUNT DORA	32757
902	MOUNT DORA	32757
903	MOUNT DORA	32757
904	MOUNT DORA	32757
905	MOUNT DORA	32757
906	MOUNT DORA	32757
907	MOUNT DORA	32757
908	MOUNT DORA	32757
909	MOUNT DORA	32757
910	MOUNT DORA	32757
911	MOUNT DORA	32757
912	MOUNT DORA	32757
913	MOUNT DORA	32757
914	MOUNT DORA	32757
915	MOUNT DORA	32757
916	MOUNT DORA	32757
917	MOUNT DORA	32757
918	MOUNT DORA	32757
919	MOUNT DORA	32757
920	MOUNT DORA	32757
921	MOUNT DORA	32757
922	MOUNT DORA	32757
923	MOUNT DORA	32757
924	MOUNT DORA	32757
925	MOUNT DORA	32757
926	MOUNT DORA	32757
927	MOUNT DORA	32757
928	MOUNT DORA	32757
929	MOUNT DORA	32757
930	MOUNT DORA	32757
931	MOUNT DORA	32757
932	MOUNT DORA	32757
933	MOUNT DORA	32757
934	MOUNT DORA	32757
935	MOUNT DORA	32757
936	MOUNT DORA	32757
937	MOUNT DORA	32757
938	MOUNT DORA	32757
939	MOUNT DORA	32757
940	MOUNT DORA	32757
941	MOUNT DORA	32757
942	MOUNT DORA	32757
943	MOUNT DORA	32757
944	MOUNT DORA	32757
945	MOUNT DORA	32757
946	MOUNT DORA	32757
947	MOUNT DORA	32757
948	MOUNT DORA	32757
949	MOUNT DORA	32757
950	MOUNT DORA	32757
951	MOUNT DORA	32757
952	MOUNT DORA	32757
953	MOUNT DORA	32757
954	MOUNT DORA	32757
955	MOUNT DORA	32757
956	MOUNT DORA	32757
957	MOUNT DORA	32757
958	MOUNT DORA	32757
959	MOUNT DORA	32757
960	MOUNT DORA	32757
961	MOUNT DORA	32757
962	MOUNT DORA	32757
963	MOUNT DORA	32757
964	MOUNT DORA	32757
965	MOUNT DORA	32757
966	MOUNT DORA	32757
967	MOUNT DORA	32757
968	MOUNT DORA	32757
969	MOUNT DORA	32757
970	MOUNT DORA	32757
971	MOUNT DORA	32757
972	MOUNT DORA	32757
973	MOUNT DORA	32757
974	MOUNT DORA	32757
975	MOUNT DORA	32757
976	MOUNT DORA	32757
977	MOUNT DORA	32757
978	MOUNT DORA	32757
979	MOUNT DORA	32757
980	MOUNT DORA	32757
981	MOUNT DORA	32757
982	MOUNT DORA	32757
983	MOUNT DORA	32757
984	MOUNT DORA	32757
985	MOUNT DORA	32757
986	MOUNT DORA	32757
987	MOUNT DORA	32757
988	MOUNT DORA	32757
989	MOUNT DORA	32757
990	MOUNT DORA	32757
991	MOUNT DORA	32757
992	MOUNT DORA	32757
993	MOUNT DORA	32757
994	MOUNT DORA	32757
995	MOUNT DORA	32757
996	MOUNT DORA	32757
997	MOUNT DORA	32757
998	MOUNT DORA	32757
999	MOUNT DORA	32757
1000	MOUNT DORA	32757
1001	MOUNT DORA	32757
1002	MOUNT DORA	32757
1003	MOUNT DORA	32757
1004	MOUNT DORA	32757
1005	MOUNT DORA	32757
1006	MOUNT DORA	32757
1007	MOUNT DORA	32757
1008	MOUNT DORA	32757
